protocol_context,graph_mode,model_name,trace_id,graph_instance_id,repeat_id,true_boundary_count,predicted_boundary_count,matched_boundary_count,boundary_recall_within_tolerance,boundary_precision_within_tolerance,boundary_f1_within_tolerance,boundary_mae_ns,boundary_median_absolute_error_ns,boundary_mean_signed_error_ns,tolerance_ns
direct_coherent_dynamic_graph,global_only_control,logistic_regression,fde38889d28d13ef0cbd,graph_0013,1,4,15,4,1.0,0.26666666666666666,0.4210526315789474,566.7747863160498,429.3325004784965,-272.0332469318414,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,00a544660bf4e3f03197,graph_0006,1,3,13,3,1.0,0.23076923076923078,0.375,1489.8094517450727,1920.3264686458642,111.88397216003887,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,131f67e96845c062fc0e,graph_0016,1,4,18,3,0.75,0.16666666666666666,0.27272727272727276,567.9002695903288,605.870893356986,-156.53376176543102,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,1e7813be7f76e60f60d4,graph_0003,0,3,15,3,1.0,0.2,0.33333333333333337,911.3986582308777,887.4569636789893,332.20258791923817,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,2b795abbe75dc56a8e61,graph_0024,0,3,15,3,1.0,0.2,0.33333333333333337,1303.849311578413,1511.0197647997484,29.489308851105914,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,2bcf1e191ed0f0941f3e,graph_0017,0,5,23,5,1.0,0.21739130434782608,0.3571428571428571,782.7864682537205,658.4387688665629,-341.8139164466156,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,42084c12f1e78fcf4e73,graph_0006,0,3,20,3,1.0,0.15,0.2608695652173913,629.5918059811632,179.67353135413578,531.8839721600389,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,8f8bd18a53d26ec7012c,graph_0022,0,4,12,4,1.0,0.3333333333333333,0.5,692.5716095020503,283.961086798985,511.8910550591331,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,a557848dc5a0b06da16a,graph_0005,0,5,19,5,1.0,0.2631578947368421,0.4166666666666667,694.6157399010153,693.5997619003756,-267.63238432874493,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,bc3c494be0302c76283a,graph_0029,1,5,24,4,0.8,0.16666666666666666,0.27586206896551724,686.6319938210238,591.8590189176634,94.77297490336036,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,c7c7968ca94d32dc5fb7,graph_0005,1,5,16,4,0.8,0.25,0.38095238095238093,874.7176766206762,824.6474969932788,-805.9400947096151,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,d187978e7fa5d17e254e,graph_0013,0,4,13,3,0.75,0.23076923076923078,0.3529411764705882,1134.5799337226774,714.2567223996157,658.4087854562671,2520.0
direct_coherent_dynamic_graph,global_only_control,random_forest,d2e6d312db43e3253ea5,graph_0003,1,3,11,3,1.0,0.2727272727272727,0.42857142857142855,472.20258791923817,137.9449055461846,472.20258791923817,2520.0
