protocol_context,graph_mode,graph_instance_id,repeat_id,probe_edge,scenario_id,victim_request_count_used,victim_edges_used
direct_coherent_dynamic_graph,edge_localized,graph_0015,1,module_1--module_2,direct_coherent_remote_cx__all_used_shared,7,module_1--module_2
direct_coherent_dynamic_graph,edge_localized,graph_0015,1,module_1--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0015,1,module_1--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0015,1,module_2--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0015,1,module_2--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0015,1,module_3--module_4,direct_coherent_remote_cx__all_used_shared,15,module_3--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0016,0,module_1--module_2,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0016,0,module_1--module_3,direct_coherent_remote_cx__all_used_shared,22,module_1--module_3
direct_coherent_dynamic_graph,edge_localized,graph_0016,0,module_1--module_4,direct_coherent_remote_cx__all_used_shared,15,module_1--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0016,0,module_2--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0016,0,module_2--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0016,0,module_3--module_4,direct_coherent_remote_cx__all_used_shared,6,module_3--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0016,1,module_1--module_2,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0016,1,module_1--module_3,direct_coherent_remote_cx__all_used_shared,21,module_1--module_3
direct_coherent_dynamic_graph,edge_localized,graph_0016,1,module_1--module_4,direct_coherent_remote_cx__all_used_shared,15,module_1--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0016,1,module_2--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0016,1,module_2--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0016,1,module_3--module_4,direct_coherent_remote_cx__all_used_shared,6,module_3--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0017,0,module_1--module_2,direct_coherent_remote_cx__all_used_shared,7,module_1--module_2
