graph_instance_id,repeat_id,phase_index,active_edge,remote_profile,phase_local_request_index,victim_request_index,release_ns,protocol_context,graph_mode
graph_0002,0,5,module_1--module_3,dense_periodic,10,45,39631.01937692793,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,0,0,292.7984398303482,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,1,1,829.1857037427545,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,2,2,1368.4687678148478,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,3,3,1903.4949062371118,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,4,4,2440.328324268767,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,5,5,2986.034234963861,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,6,6,3520.9634335225096,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,7,7,4059.222428310032,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,8,8,4592.658516141791,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,9,9,5130.4927333864225,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,10,10,5676.803258588937,direct_coherent_dynamic_graph,edge_localized
graph_0002,1,0,module_1--module_4,dense_periodic,11,11,6209.645185812599,direct_coherent_dynamic_graph,edge_localized
