base_schedule_id,repeat_id,schedule_profile,victim_request_index,release_ns
base_0003,1,sparse_periodic,5,6185.307138413911
base_0003,1,sparse_periodic,6,7365.630206153057
base_0003,1,sparse_periodic,7,8538.518711690747
base_0003,1,sparse_periodic,8,9720.07372404812
base_0003,1,sparse_periodic,9,10890.826309113181
base_0003,1,sparse_periodic,10,12075.443212009652
base_0003,1,sparse_periodic,11,13253.152200219924
base_0003,1,sparse_periodic,12,14429.3393899134
base_0003,1,sparse_periodic,13,15606.314389706888
base_0003,1,sparse_periodic,14,16783.731173714543
base_0003,1,sparse_periodic,15,17961.740881094305
base_0003,1,sparse_periodic,16,19139.5771540969
base_0004,0,dense_periodic,0,322.8586287815215
base_0004,0,dense_periodic,1,776.6733873112049
base_0004,0,dense_periodic,2,1229.5863618768526
base_0004,0,dense_periodic,3,1681.1599504086344
base_0004,0,dense_periodic,4,2132.785367776485
base_0004,0,dense_periodic,5,2591.5533067474103
base_0004,0,dense_periodic,6,3039.8182722999477
base_0004,0,dense_periodic,7,3499.3260213799012
base_0004,0,dense_periodic,8,3951.9991120459563
base_0004,0,dense_periodic,9,4402.549648357231
base_0004,0,dense_periodic,10,4856.522294464524
base_0004,0,dense_periodic,11,5309.727917472128
base_0004,0,dense_periodic,12,5767.215453117488
base_0004,0,dense_periodic,13,6218.484611868718
base_0004,0,dense_periodic,14,6673.216814905762
base_0004,0,dense_periodic,15,7127.358950825581
base_0004,0,dense_periodic,16,7580.653468507216
base_0004,0,dense_periodic,17,8030.117095197691
base_0004,0,dense_periodic,18,8485.181970008094
base_0004,0,dense_periodic,19,8937.12061438496
base_0004,0,dense_periodic,20,9390.937427745572
base_0004,0,dense_periodic,21,9846.364785536603
base_0004,0,dense_periodic,22,10304.521948024627
base_0004,0,dense_periodic,23,10757.146476047974
base_0004,0,dense_periodic,24,11204.60201255005
base_0004,0,dense_periodic,25,11661.476000422825
base_0004,0,dense_periodic,26,12112.249602307782
base_0004,0,dense_periodic,27,12568.1856130577
base_0004,0,dense_periodic,28,13023.371733848158
base_0004,0,dense_periodic,29,13477.679973386816
base_0004,0,dense_periodic,30,13932.433139466551
base_0004,0,dense_periodic,31,14385.372904229864
base_0004,0,dense_periodic,32,14838.858857545814
base_0004,0,dense_periodic,33,15293.57816143182
base_0004,0,dense_periodic,34,15744.870382884112
base_0004,0,dense_periodic,35,16198.474087147019
