scenario_name,same_module,shared_components,shared_component_count,expected_mechanism,workload_name,trial_id,victim_phase_ns,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,median_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,total_excess_turnaround_ns,attacker_baseline_mean_wait_ns,attacker_combined_mean_wait_ns,victim_request_count,victim_baseline_mean_latency_ns,victim_combined_mean_latency_ns,victim_mean_latency_slowdown,victim_baseline_makespan_ns,victim_combined_makespan_ns,victim_makespan_slowdown,max_causal_accounting_error_ns
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,7,60.10050032288584,48,9,0.1875,19.706343810541057,0.0,144.10050032288555,165.10050032288564,945.9045029059707,0.0,19.706343810541057,23,205.0,257.77802158470683,1.2574537638278382,20005.0,20109.899499677114,1.0052436640678388,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,8,143.17293144115501,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,8,143.17293144115501,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_local_route_only,True,local_route,1,local_route_wait,periodic_sparse,8,143.17293144115501,48,3,0.0625,1.4483082150722264,0.0,15.062405436750726,23.172931441156834,69.51879432346686,0.0,1.4483082150722264,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_communication_qubit_only,True,communication_qubit,1,communication_qubit_reuse_wait,periodic_sparse,8,143.17293144115501,48,12,0.25,24.54323286028883,0.0,167.17293144115555,188.17293144115683,1178.0751772938638,0.0,24.54323286028883,23,205.00000000000009,241.52598931075178,1.1781755576134227,20005.0,20026.827068558843,1.0010910806577777,0.0
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,8,143.17293144115501,48,6,0.125,8.521616430144453,0.0,77.17293144115557,98.17293144115683,409.0375886469337,0.0,8.521616430144453,23,205.00000000000009,211.76005242071892,1.0329758654669212,20005.0,20005.0,1.0,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,8,143.17293144115501,48,3,0.0625,2.073308215072226,0.0,21.562405436750712,33.172931441156834,99.51879432346686,0.0,2.073308215072226,23,205.00000000000009,205.00000000000009,1.0,20005.0,20005.0,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,8,143.17293144115501,48,12,0.25,24.54323286028883,0.0,167.17293144115555,188.17293144115683,1178.0751772938638,0.0,24.54323286028883,23,205.00000000000009,241.52598931075178,1.1781755576134227,20005.0,20026.827068558843,1.0010910806577777,0.0
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,8,143.17293144115501,48,12,0.25,24.54323286028883,0.0,167.17293144115555,188.17293144115683,1178.0751772938638,0.0,24.54323286028883,23,205.00000000000009,241.52598931075178,1.1781755576134227,20005.0,20026.827068558843,1.0010910806577777,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,9,277.09234986561523,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19105.0,19105.0,1.0,0.0
