scheduler_policy,tenant_count,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
randomized_arbitration,8,60,799.0116162211636,3393.503333333332,4304.205333333333,684.2815846511635,3279.5741666666654,0.16979166666666667,0.015625,0.196875,0.38229166666666664,273.34027777777777,281.75694444444446,1.0202130740356765,0.4,0.9164332478431658,0.7005075019769423,0.4521228399068376,0.24542882776524083,0.19068782814159502,0.038651604274066456,0.3094841758781278,0.4940285692991927,0.0,0.0,5.291330546250001,25.683333333333334,0.16571803852889666
round_robin_tenants,2,60,988.4504766148918,2577.9374999999995,2802.5099999999998,876.6991930373304,2463.6624999999995,0.059375,0.0,0.23333333333333334,0.29270833333333335,25.395833333333332,25.395833333333332,1.0251459926570696,0.45,0.8930482606165806,0.5270709476904896,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.03212235836019814,0.4183220245736292,0.37817741753911965,0.0,0.0,3.066795804098456,24.3,0.2615313653136531
round_robin_tenants,3,60,859.5028994825873,2630.0708333333328,2914.905833333333,746.0086918680122,2516.495833333333,0.05381944444444444,0.009375,0.2503472222222222,0.31354166666666666,33.74305555555556,36.42361111111111,1.0303502976569159,0.43333333333333335,0.8773981532634281,0.6192016368050499,0.2444607665023954,0.11744859181680753,0.10075155479770924,0.03352337213308232,0.38242057301880467,0.42136918073088286,0.0,0.0,3.1589563407997003,24.716666666666665,0.2367601246105919
round_robin_tenants,4,555,825.6310890607486,2798.1872072072065,3170.9298558558557,711.2605138512195,2684.1232432432425,0.05653153153153153,0.01602852852852853,0.2786036036036036,0.35123873873873873,15.239151651651651,21.07286036036036,1.0227000648908755,0.43423423423423424,0.8801733923641613,0.594019362669626,0.2882617739900861,0.16780487823885384,0.11336970200224071,0.035917030949447495,0.3642066226321445,0.4513659361625235,5.832432432432433,0.00696277870512293,3.750304653253786,24.76036036036036,0.23390641315169616
round_robin_tenants,8,60,802.7984717329243,4059.721666666666,5014.542,688.0612609264036,3945.292499999999,0.09965277777777778,0.071875,0.22708333333333333,0.39861111111111114,103.20833333333333,158.73611111111111,1.0099719295901732,0.4,0.9088312083460099,0.6779646208870941,0.44871044857736353,0.24268442664365014,0.18839253296696942,0.04611909651380929,0.29413645649664705,0.48674688246076825,0.0,0.0,5.27292729182669,25.8,0.17578809106830123
shortest_operation_first,2,60,1007.4403756047909,2947.1874999999995,3182.5199999999995,895.6890920272294,2831.7624999999994,0.06666666666666667,0.0,0.23333333333333334,0.3,57.5625,57.5625,1.0460334649368819,0.45,0.8930482606165806,0.5378753955611667,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.06185292238073251,0.40484259429060454,0.37817741753911965,0.0,0.0,3.1062868861885846,24.3,0.2615313653136531
shortest_operation_first,3,60,871.9817784370554,2913.0766666666664,3227.429666666666,758.4875708224803,2796.518333333333,0.06319444444444444,0.006597222222222222,0.2503472222222222,0.32013888888888886,62.40277777777778,63.125,1.047528174535191,0.43333333333333335,0.8773981532634281,0.5868452037896624,0.2444607665023954,0.11744859181680753,0.10075155479770924,0.04932222372621913,0.373906570527677,0.4204167997785019,0.0,0.0,3.193506753125015,24.716666666666665,0.2367601246105919
shortest_operation_first,4,555,826.5289498253279,2960.6220720720717,3336.185009009009,714.1859227686546,2844.481351351351,0.045307807807807805,0.011336336336336336,0.2754129129129129,0.33246996996996997,10.719857357357357,14.780367867867866,1.019398075167479,0.436036036036036,0.8819986329482438,0.516978240660848,0.28972468571532217,0.1685491988007624,0.11396653982054329,0.04369797073874939,0.3592095957190834,0.4226514766894862,3.127927927927928,0.006376155903014375,3.7336058233060827,24.684684684684683,0.23117457079721232
shortest_operation_first,8,60,806.676855585139,2984.831666666666,3589.921333333333,691.8843238496733,2867.806666666666,0.10798611111111112,0.04618055555555556,0.27291666666666664,0.4270833333333333,64.47083333333333,68.87638888888888,1.0540907432449413,0.4,0.9038091196194956,0.5792753548016021,0.4437956057879565,0.24048752477867089,0.18647935478957303,0.035948053382128656,0.32806754048676173,0.5108822943580831,0.0,0.0,5.226180180196865,25.716666666666665,0.18461762988908348
static_circuit_layer,2,60,1601.028982236937,3694.6374999999994,4058.4075000000003,1489.1962846168885,3581.5124999999994,0.06458333333333334,0.0,0.28125,0.3458333333333333,17.0,17.0,1.04251968503937,0.25,0.8867504450923481,0.512555087259084,0.20107058247882562,0.08423251375421108,0.08053388764265579,0.05588481541454993,0.5028506479613668,0.33800535272433474,0.0,0.0,4.798975391653047,27.45,0.3076568265682657
static_circuit_layer,3,60,1415.1635971591434,3701.7958333333327,4102.556666666666,1301.9098624044439,3587.9291666666663,0.06805555555555555,0.006944444444444445,0.2847222222222222,0.3597222222222223,28.416666666666668,29.930555555555557,1.0530544051762232,0.25,0.847578009942421,0.5809887617385924,0.2277522888444663,0.10904034175157772,0.09334147862911304,0.05458462992445353,0.46823687493017474,0.3940689467825707,0.0,0.0,4.706204801924979,27.5,0.29335410176531673
static_circuit_layer,4,555,1405.4043381862853,4066.266936936937,4513.348918918919,1292.8149138651177,3952.887747747747,0.07064564564564565,0.015240240240240241,0.3015015015015015,0.3874249249249249,43.114564887854364,50.790588279667226,1.0465971137570678,0.3009009009009009,0.8310300361944709,0.6206947005189676,0.2634977303666857,0.1514787922315441,0.10338722795884459,0.06079818273751526,0.4504619299491216,0.429127079680367,1.0666666666666667,0.01833057581881746,5.582309218327933,27.823423423423424,0.3022388965785192
static_circuit_layer,8,60,1194.458617153608,4646.722499999999,5643.076666666666,1079.8825319967125,4534.114166666665,0.1798611111111111,0.03194444444444445,0.3170138888888889,0.5288194444444445,413.35265151515154,437.84987373737374,1.2205083475331162,0.23333333333333334,0.8289697783708523,0.6239552646905724,0.40848795428734314,0.21503001129541874,0.16455265446758835,0.06530040840047892,0.4048431440410521,0.5399561775196322,0.0,0.0,6.555797769595048,28.1,0.2802831290134267
weighted_fair_queueing,2,60,988.3254766148918,2601.2249999999995,2849.43,876.5741930373304,2487.8874999999994,0.06770833333333333,0.0,0.23333333333333334,0.30104166666666665,14.333333333333334,14.333333333333334,1.047250731747354,0.45,0.8930482606165806,0.5199677517814413,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.033517732331891294,0.42229445565132345,0.37817741753911965,0.0,0.0,3.0660777571860582,24.3,0.2615313653136531
weighted_fair_queueing,3,60,859.0266396582691,2659.9041666666662,2970.2491666666665,745.5324320436941,2545.9874999999997,0.06770833333333333,0.00625,0.2503472222222222,0.3243055555555555,16.71527777777778,17.381944444444446,1.0532599169954777,0.43333333333333335,0.8773981532634281,0.6075571452746945,0.2444607665023954,0.11744859181680753,0.10075155479770924,0.034458567722198914,0.3835544981732522,0.4204167997785019,0.0,0.0,3.1568176387048807,24.716666666666665,0.2367601246105919
weighted_fair_queueing,4,555,810.6769768892427,2771.825675675675,3171.43627027027,698.1368571175909,2659.393243243243,0.05660660660660661,0.012837837837837839,0.27522522522522525,0.34478228228228225,9.775938438438438,13.287424924924924,1.0188048510506647,0.43783783783783786,0.8833768450212779,0.5871211591983855,0.28924570884586687,0.16836545045454054,0.11384299622231198,0.035405709015971475,0.3612078178686338,0.4307171458946209,2.881081081081081,0.005360114216141394,3.669595972474118,24.736936936936935,0.23084674971467425
weighted_fair_queueing,8,60,794.4768129410841,3395.7433333333324,4422.215,679.7028973155273,3282.0683333333322,0.1767361111111111,0.016319444444444445,0.22604166666666667,0.4190972222222222,222.84027777777777,231.14583333333334,1.083276558981059,0.4,0.9134448665064688,0.7086283058509616,0.4497383707166435,0.2437873938557694,0.18916033541182634,0.03811752711456204,0.29723441516368193,0.5497371362087674,0.0,0.0,5.207016415855841,25.666666666666668,0.17265032107413894
