trace_id,probe_index,release_ns,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected
isolated_backend_link1::sparse_periodic::trial3,3,1290.0,1555.0,1562.1624019287433,265.0,272.1624019287433,7.162401928743293,True
isolated_backend_link1::sparse_periodic::trial3,4,1710.0,1975.0,1975.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,5,2130.0,2395.0,2464.585405006055,265.0,334.5854050060552,69.58540500605523,True
isolated_backend_link1::sparse_periodic::trial3,6,2550.0,2815.0,2849.585405006055,265.0,299.5854050060552,34.585405006055225,True
isolated_backend_link1::sparse_periodic::trial3,7,2970.0,3235.0,3235.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,8,3390.0,3655.0,3655.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,9,3810.0,4075.0,4075.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,10,4230.0,4495.0,4495.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,11,4650.0,4915.0,4915.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,12,5070.0,5335.0,5335.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,13,5490.0,5755.0,5755.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,14,5910.0,6175.0,6175.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,15,6330.0,6595.0,6595.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,16,6750.0,7015.0,7015.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,17,7170.0,7435.0,7435.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,18,7590.0,7855.0,7861.228020227142,265.0,271.2280202271422,6.228020227142224,True
isolated_backend_link1::sparse_periodic::trial3,19,8010.0,8275.0,8275.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,20,8430.0,8695.0,8761.127044233615,265.0,331.1270442336154,66.12704423361538,True
isolated_backend_link1::sparse_periodic::trial3,21,8850.0,9115.0,9146.127044233615,265.0,296.1270442336154,31.12704423361538,True
isolated_backend_link1::sparse_periodic::trial3,22,9270.0,9535.0,9535.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,23,9690.0,9955.0,9955.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,24,10110.0,10375.0,10375.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,25,10530.0,10795.0,10795.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,26,10950.0,11215.0,11215.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,27,11370.0,11635.0,11635.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,28,11790.0,12055.0,12055.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,29,12210.0,12475.0,12475.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,30,12630.0,12895.0,12895.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,31,13050.0,13315.0,13315.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,32,13470.0,13735.0,13735.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,33,13890.0,14155.0,14162.01272436864,265.0,272.0127243686402,7.0127243686401926,True
isolated_backend_link1::sparse_periodic::trial3,34,14310.0,14575.0,14575.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,35,14730.0,14995.0,15060.740222982206,265.0,330.7402229822055,65.74022298220552,True
isolated_backend_link1::sparse_periodic::trial3,36,15150.0,15415.0,15445.740222982206,265.0,295.7402229822055,30.740222982205523,True
isolated_backend_link1::sparse_periodic::trial3,37,15570.0,15835.0,15835.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,38,15990.0,16255.0,16255.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,39,16410.0,16675.0,16675.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,40,16830.0,17095.0,17095.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,41,17250.0,17515.0,17515.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,42,17670.0,17935.0,17935.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,43,18090.0,18355.0,18355.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,44,18510.0,18775.0,18775.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,45,18930.0,19195.0,19195.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,46,19350.0,19615.0,19615.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial3,47,19770.0,20035.0,20035.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial4,0,30.0,295.0,295.0,265.0,265.0,0.0,False
