subexperiment,allocation_policy,communication_qubits_per_module,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,first_available,4,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,1.0279317121099938,1.7652173913043478,0.0,0.07386544822648958,0.033575203739313414,0.31976287561777533,0.0,0.4272035275835783,0.0,,0,0,0,0.8055181787340238,0.33814651785087685,1.0,
core_policy_capacity_tenancy,first_available,8,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79375,0.0,0.0,0.0,0.0,0.0,1.0005282604478523,1.0082169268693508,0.0,0.03720175005532486,0.016909886388783997,0.18755320460885666,0.0,0.2416648410529655,0.0,,0,0,0,0.8055181787340238,0.5434290053633121,1.0,
core_policy_capacity_tenancy,per_tenant_reserved,1,60,48,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.0,,,1.0,1.0,0.6509449077444527,0.1060859274535943,0.04822087611527011,0.22894909269546915,0.0,0.3832558962643335,0.0,,0,0,0,0.3020833333333333,0.6982431328465634,0.8,
core_policy_capacity_tenancy,per_tenant_reserved,2,60,48,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2860038811368749,0.09988579472607376,0.045402633966397134,0.2967546158398241,0.0,0.442043044532295,0.0,,0,0,0,0.5556956058314932,0.6982431328465634,0.8,
core_policy_capacity_tenancy,per_tenant_reserved,4,60,48,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12759057530786116,0.06129390963216782,0.027860868014621697,0.20193645962116474,0.0,0.2910912372679543,0.0,,0,0,0,0.7336985625900342,0.48431976718292463,0.8,
core_policy_capacity_tenancy,per_tenant_reserved,8,60,48,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03791531914544676,0.035092354685868944,0.015951070311758585,0.12198202641802035,0.0,0.1730254514156479,0.0,,0,0,0,0.8290566987208161,0.39419885765047064,0.8,
core_policy_capacity_tenancy,predicted_demand,1,60,0,1.0,0.011458333333333333,0.0027777777777777775,0.01423611111111111,0.0,0.011458333333333333,0.01423611111111111,0.01423611111111111,42.48263888888889,46.99236111111111,2255.633333333333,42.48263888888889,46.99236111111111,,,0.35791465653226573,0.16019261028284382,0.07281482285583808,0.4632828963343191,0.0,0.6962903294730011,0.0,,0,0,0,0.6781615580189668,0.3169903577496141,0.0,
core_policy_capacity_tenancy,predicted_demand,2,60,58,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,1.1278512884138758,1.6761904761904762,0.026901891787511442,0.13707579199263692,0.062307178178471284,0.3925325281458518,0.0,0.59191549831696,0.0,,0,0,0,0.7843284894672462,0.30435481120915847,0.9666666666666667,
core_policy_capacity_tenancy,predicted_demand,4,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022551154255672,1.4869565217391305,0.0,0.0737495075286659,0.03352250342212083,0.26440942651422156,0.0,0.37168143746500826,0.0,,0,0,0,0.8055181787340238,0.37284101014443594,1.0,
core_policy_capacity_tenancy,predicted_demand,8,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0006399353143474,1.0170487948265725,0.0,0.03699765692424802,0.016817116783749073,0.15366261211638316,0.0,0.20747738582438024,0.0,,0,0,0,0.8055181787340238,0.6295735083189086,1.0,
core_policy_capacity_tenancy,priority_allocation,1,60,2,0.9666666666666667,0.013541666666666667,0.0013888888888888887,0.014930555555555555,0.0,0.013541666666666667,0.014930555555555555,0.014930555555555555,16.73125,18.086805555555554,868.1666666666666,16.73125,18.086805555555554,1.0,1.0,0.35594334102044617,0.16039122555093602,0.0729051025231527,0.4635467528146046,0.0,0.6968430808886933,0.0,,0,0,0,0.6836457902962955,0.3191595309513459,0.03333333333333333,
core_policy_capacity_tenancy,priority_allocation,2,60,60,0.0,0.009722222222222222,0.0,0.009722222222222222,0.0,0.009722222222222222,0.009722222222222222,0.4715277777777778,46.91597222222222,46.91597222222222,2251.9666666666667,46.91597222222222,46.91597222222222,1.1567321707697913,1.7684729064039408,0.020075753639813818,0.13759191197597884,0.06254177817089944,0.47825099214121913,0.0,0.6783846822880975,0.0,,0,0,0,0.7888797439649529,0.31769214441097193,1.0,
