victim_instance_id,phase_index,phase_label,remote_active,start_ns,end_ns,duration_ns,schedule_signature
victim_0024,2,synchronization_bursty,1,5880.101017482134,8721.797332383921,2841.6963149017874,8d885f0a6ee5034f
victim_0024,3,sparse_remote,1,8721.797332383921,11724.926827795225,3003.1294954113037,8d885f0a6ee5034f
victim_0024,4,dense_remote,1,11724.926827795225,14291.580127916128,2566.6533001209027,8d885f0a6ee5034f
victim_0024,5,synchronization_bursty,1,14291.580127916128,20000.0,5708.419872083872,8d885f0a6ee5034f
victim_0025,0,synchronization_bursty,1,0.0,3699.3218982114486,3699.3218982114486,642368df98f237e3
victim_0025,1,sparse_remote,1,3699.3218982114486,7929.068841861739,4229.746943650291,642368df98f237e3
victim_0025,2,synchronization_bursty,1,7929.068841861739,10387.72456401841,2458.655722156671,642368df98f237e3
victim_0025,3,dense_remote,1,10387.72456401841,12679.666301931928,2291.9417379135175,642368df98f237e3
victim_0025,4,synchronization_bursty,1,12679.666301931928,16387.39238582419,3707.726083892263,642368df98f237e3
victim_0025,5,local_compute,0,16387.39238582419,20000.0,3612.6076141758094,642368df98f237e3
victim_0026,0,dense_remote,1,0.0,2496.180969875597,2496.180969875597,5ff129be6cbc3757
victim_0026,1,synchronization_bursty,1,2496.180969875597,4452.4388961102495,1956.2579262346526,5ff129be6cbc3757
victim_0026,2,local_compute,0,4452.4388961102495,8743.134303433631,4290.695407323382,5ff129be6cbc3757
victim_0026,3,synchronization_bursty,1,8743.134303433631,13118.329652904042,4375.19534947041,5ff129be6cbc3757
victim_0026,4,sparse_remote,1,13118.329652904042,16515.56069027483,3397.231037370788,5ff129be6cbc3757
victim_0026,5,synchronization_bursty,1,16515.56069027483,20000.0,3484.4393097251705,5ff129be6cbc3757
victim_0027,0,synchronization_bursty,1,0.0,3891.891292199264,3891.891292199264,573475ff344cd109
victim_0027,1,local_compute,0,3891.891292199264,5871.05235574612,1979.161063546856,573475ff344cd109
victim_0027,2,sparse_remote,1,5871.05235574612,10843.956103624452,4972.903747878332,573475ff344cd109
victim_0027,3,synchronization_bursty,1,10843.956103624452,13631.830118470953,2787.8740148465004,573475ff344cd109
victim_0027,4,sparse_remote,1,13631.830118470953,15533.456398991882,1901.6262805209299,573475ff344cd109
victim_0027,5,dense_remote,1,15533.456398991882,20000.0,4466.543601008118,573475ff344cd109
victim_0028,0,dense_remote,1,0.0,4238.16345927676,4238.16345927676,eda694273d8a4e96
victim_0028,1,sparse_remote,1,4238.16345927676,6655.732268129431,2417.5688088526713,eda694273d8a4e96
victim_0028,2,local_compute,0,6655.732268129431,9576.981626055529,2921.249357926098,eda694273d8a4e96
victim_0028,3,sparse_remote,1,9576.981626055529,12266.77271178688,2689.791085731351,eda694273d8a4e96
