scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_reuse,reuse_event_count,mean_acquisition_to_acquisition_ns,median_acquisition_to_acquisition_ns,mean_release_to_reacquire_gap_ns,minimum_release_to_reacquire_gap_ns,mean_previous_hold_ns
shared_switch_path_capacity1,transmission_segment,dedicated,1,False,2366,490.9119282427455,420.0,410.9119282427455,159.0,80.0
shared_switch_path_capacity2,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_switch_path_capacity2,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
shared_switch_path_capacity2,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
shared_switch_path_capacity2,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
shared_switch_path_capacity2,switch_path,shared_pool,2,False,974,481.9907597535934,420.0,386.9907597535934,144.0,95.0
shared_switch_path_capacity2,switch_path,shared_pool,2,True,1392,463.96647247551493,260.3906792767155,368.96647247551493,0.3989535070541024,95.0
shared_switch_path_capacity2,transmission_segment,dedicated,1,False,2366,490.90236686390534,420.0,410.90236686390534,158.99999999999818,80.0
shared_transmission_segment_capacity1,controller_admission,dedicated,1,False,2366,490.97973026329436,420.0,482.97973026329436,230.99999999999818,8.0
shared_transmission_segment_capacity1,destination_link_interface,dedicated,1,False,2366,490.8908245609777,420.0,478.8908245609777,227.0,11.999999999999998
shared_transmission_segment_capacity1,source_link_interface,dedicated,1,False,2366,490.97973026329436,420.0,365.5198794031478,119.99999999999818,125.45985086014655
shared_transmission_segment_capacity1,switch_arbiter,dedicated,1,False,2366,490.97973026329436,420.0,478.97973026329436,226.99999999999818,12.0
shared_transmission_segment_capacity1,switch_path,dedicated,1,False,2366,490.97973026329436,420.0,389.5198794031478,143.99999999999818,101.45985086014655
shared_transmission_segment_capacity1,transmission_segment,shared_pool,1,False,657,381.30162177925024,420.0,301.30162177925024,159.0,80.0
shared_transmission_segment_capacity1,transmission_segment,shared_pool,1,True,1739,197.72017950853723,178.62237291430392,117.72017950853723,0.0,80.0
shared_transmission_segment_capacity2,controller_admission,dedicated,1,False,2366,490.90236686390534,420.0,482.90236686390534,230.99999999999818,8.0
shared_transmission_segment_capacity2,destination_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.9999999999991,11.999999999999998
shared_transmission_segment_capacity2,source_link_interface,dedicated,1,False,2366,490.90236686390534,420.0,371.90236686390534,119.99999999999818,119.0
shared_transmission_segment_capacity2,switch_arbiter,dedicated,1,False,2366,490.90236686390534,420.0,478.90236686390534,226.99999999999818,12.0
shared_transmission_segment_capacity2,switch_path,dedicated,1,False,2366,490.90236686390534,420.0,395.90236686390534,143.99999999999818,95.0
shared_transmission_segment_capacity2,transmission_segment,shared_pool,2,False,865,460.97687861271675,420.0,380.97687861271675,159.0,80.0
shared_transmission_segment_capacity2,transmission_segment,shared_pool,2,True,1501,473.81755301860204,252.73361094867641,393.81755301860204,0.012228609613885055,80.0
