scenario_name,workload_name,trial_id,logical_component,sharing_mode,component_capacity,maximum_concurrent_occupancy,aggregate_occupancy_ns,capacity_limit,configured_component_capacity,capacity_respected,analysis_horizon_ns,aggregate_lane_utilization
fully_isolated_interconnect_control,periodic_sparse,3,switch_arbiter,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,3,switch_path,dedicated,1,2,6650.0,2,1,True,20000.0,0.16625
fully_isolated_interconnect_control,periodic_sparse,3,transmission_segment,dedicated,1,2,5600.0,2,1,True,20000.0,0.14
fully_isolated_interconnect_control,periodic_sparse,4,controller_admission,dedicated,1,1,568.0,2,1,True,20012.99023430697,0.014190782920243335
fully_isolated_interconnect_control,periodic_sparse,4,destination_link_interface,dedicated,1,1,852.0,2,1,True,20143.99023430697,0.02114774655095319
fully_isolated_interconnect_control,periodic_sparse,4,source_link_interface,dedicated,1,2,8449.0,2,1,True,20131.99023430697,0.20984015742273807
fully_isolated_interconnect_control,periodic_sparse,4,switch_arbiter,dedicated,1,1,852.0,2,1,True,20036.99023430697,0.021260678126728362
fully_isolated_interconnect_control,periodic_sparse,4,switch_path,dedicated,1,2,6745.0,2,1,True,20131.99023430697,0.16751945340470686
fully_isolated_interconnect_control,periodic_sparse,4,transmission_segment,dedicated,1,2,5680.0,2,1,True,20131.99023430697,0.14106901339343736
fully_isolated_interconnect_control,periodic_sparse,5,controller_admission,dedicated,1,2,560.0,2,1,True,20000.0,0.014
fully_isolated_interconnect_control,periodic_sparse,5,destination_link_interface,dedicated,1,2,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,5,source_link_interface,dedicated,1,2,8330.0,2,1,True,20000.0,0.20825
fully_isolated_interconnect_control,periodic_sparse,5,switch_arbiter,dedicated,1,2,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,5,switch_path,dedicated,1,2,6650.0,2,1,True,20000.0,0.16625
fully_isolated_interconnect_control,periodic_sparse,5,transmission_segment,dedicated,1,2,5600.0,2,1,True,20000.0,0.14
fully_isolated_interconnect_control,periodic_sparse,6,controller_admission,dedicated,1,1,568.0,2,1,True,20000.0,0.0142
fully_isolated_interconnect_control,periodic_sparse,6,destination_link_interface,dedicated,1,1,851.9999999999982,2,1,True,20000.0,0.021299999999999954
fully_isolated_interconnect_control,periodic_sparse,6,source_link_interface,dedicated,1,2,8449.0,2,1,True,20000.0,0.211225
fully_isolated_interconnect_control,periodic_sparse,6,switch_arbiter,dedicated,1,1,852.0,2,1,True,20000.0,0.0213
fully_isolated_interconnect_control,periodic_sparse,6,switch_path,dedicated,1,2,6745.0,2,1,True,20000.0,0.168625
fully_isolated_interconnect_control,periodic_sparse,6,transmission_segment,dedicated,1,2,5680.0,2,1,True,20000.0,0.142
fully_isolated_interconnect_control,periodic_sparse,7,controller_admission,dedicated,1,1,560.0,2,1,True,20000.0,0.014
fully_isolated_interconnect_control,periodic_sparse,7,destination_link_interface,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,7,source_link_interface,dedicated,1,2,8330.0,2,1,True,20000.0,0.20825
fully_isolated_interconnect_control,periodic_sparse,7,switch_arbiter,dedicated,1,1,840.0,2,1,True,20000.0,0.021
fully_isolated_interconnect_control,periodic_sparse,7,switch_path,dedicated,1,2,6650.0,2,1,True,20000.0,0.16625
