scenario_name,logical_component,sharing_mode,component_capacity,cross_tenant_capable,physical_lane_trial_count,mean_lane_utilization,max_lane_utilization,mean_busy_time_ns,mean_interval_count
shared_data_path_partitioned_two_lanes,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
shared_data_path_partitioned_two_lanes,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
shared_data_path_partitioned_two_lanes,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
shared_data_path_partitioned_two_lanes,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
shared_data_path_partitioned_two_lanes,source_link_interface,partitioned,2,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
shared_data_path_partitioned_two_lanes,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
shared_data_path_partitioned_two_lanes,switch_path,partitioned,2,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
shared_data_path_partitioned_two_lanes,transmission_segment,partitioned,2,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
shared_destination_link_interface_capacity1,communication_qubit,dedicated,1,False,60,0.4825086496016156,0.5751780554302023,9669.216181799631,40.43333333333333
shared_destination_link_interface_capacity1,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
shared_destination_link_interface_capacity1,destination_link_interface,shared_pool,1,True,30,0.04842405459734419,0.0552,970.3999999999999,80.86666666666666
shared_destination_link_interface_capacity1,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
shared_destination_link_interface_capacity1,local_route,dedicated,1,False,60,0.09700824770441037,0.2946492046611916,1940.8567752317658,40.43333333333333
shared_destination_link_interface_capacity1,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
shared_destination_link_interface_capacity1,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
shared_destination_link_interface_capacity1,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
shared_destination_link_interface_capacity1,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
shared_destination_link_interface_capacity1,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
shared_destination_link_interface_capacity1,transmission_segment,dedicated,1,False,60,0.1616125954159983,0.192,3234.6666666666665,40.43333333333333
shared_destination_link_interface_capacity2,communication_qubit,dedicated,1,False,60,0.482226598336062,0.5730555971826765,9663.566666666668,40.43333333333333
shared_destination_link_interface_capacity2,controller_admission,dedicated,1,False,60,0.016170691138778573,0.0192,323.46666666666664,40.43333333333333
shared_destination_link_interface_capacity2,destination_link_interface,shared_pool,2,True,47,0.03090999451535655,0.054,619.4042553191489,51.61702127659574
shared_destination_link_interface_capacity2,endpoint_port,dedicated,1,False,60,0.276761569649897,0.3288,5539.366666666667,40.43333333333333
shared_destination_link_interface_capacity2,local_route,dedicated,1,False,60,0.09696207560948875,0.2946492046611916,1939.9333333333334,40.43333333333333
shared_destination_link_interface_capacity2,receiver_engine,dedicated,1,False,60,0.060586757207349934,0.072,1213.0,40.43333333333333
shared_destination_link_interface_capacity2,reset_engine,dedicated,1,False,60,0.08070738047465473,0.09590888655777012,1617.3333333333333,40.43333333333333
shared_destination_link_interface_capacity2,source_link_interface,dedicated,1,False,60,0.24039873568129747,0.2856,4811.566666666667,40.43333333333333
shared_destination_link_interface_capacity2,switch_arbiter,dedicated,1,False,60,0.02425372172520747,0.0288,485.2,40.43333333333333
shared_destination_link_interface_capacity2,switch_path,dedicated,1,False,60,0.19191495705649794,0.228,3841.1666666666665,40.43333333333333
